Agency,Platform,Url,Date_Sampled,Likes_Followers_Visits_Downloads
Commission on Human Rights,Facebook,http://www.facebook.com/NYCCommissionOnHumanRights,2011-08-08,
DOB,Facebook,http://www.facebook.com/NYCBuildings,2011-08-08,
DSNY,Facebook,http://www.facebook.com/pages/NYC-Recycle-More-Waste-Less/152173854860863,2011-08-08,
EDC,Foursquare,https://foursquare.com/user/3045331,2011-08-08,
HDP,Facebook,http://www.facebook.com/pages/NYC-HPD-POE/128962093860639,2011-08-08,
HPD/Commission on Human Rights,Facebook,http://www.facebook.com/FairHousingNyc,2011-08-08,
LPC,Facebook,http://www.facebook.com/pages/NYC-Landmarks-Preservation-Commission/133261836703216,2011-08-08,
Materials for the Arts,Facebook,https://www.facebook.com/mftanyc,2011-08-08,
MOAE,Facebook,http://www.facebook.com/pages/You-Can-Too/203525729692056,2011-08-08,
MOIA,Facebook,http://www.facebook.com/pages/WE-ARE-NEW-YORK/174438697072,2011-08-08,
MOME,Facebook,http://www.facebook.com/NYCMINY,2011-08-08,
NYC Gov,Facebook,http://www.facebook.com/nycgov,2011-08-08,
NYCCFB,Facebook,http://www.facebook.com/nycvotes,2011-08-08,
NYPD,Facebook,https://www.facebook.com/NYPD,2011-08-08,
DRIS,Facebook,http://www.facebook.com/NycDeptOfRecords,2011-08-08,
DRIS,Facebook,http://www.facebook.com/MayorEdKochNYCRecords,2011-08-08,
DRIS,Facebook,http://www.facebook.com/MayorJohnLindsayNYCRecords,2011-08-08,
DRIS,Facebook,http://www.facebook.com/MayorFiorelloLaGuardiaNYCRecords,2011-08-08,
LMEC,Flickr,http://www.facebook.com/pages/New-York-NY/Latin-Media-and-Entertainment-Week/122259604487271,2011-08-08,151
DEP,Flickr,http://www.flickr.com/photos/nycep,2011-08-08,
DOB,Flickr,http://www.flickr.com/photos/nyc_buildings/,2011-08-08,
DOE,Flickr,http://www.flickr.com/photos/nycschools,2011-08-08,
DOITT,Flickr,http://www.flickr.com/photos/nyc_doitt,2011-08-08,
DOT,Flickr,http://www.flickr.com/photos/nycstreets,2011-08-08,
DPR,Flickr,http://www.flickr.com/photos/nycparks/,2011-08-08,
DSNY,Flickr,http://flickr.com/nycrecyclemore,2011-08-08,
EDC,Flickr,http://www.flickr.com/nycedc,2011-08-08,
FDNY,Flickr,http://www.flickr.com/groups/fdny-ems,2011-08-08,
HHC,Flickr,http://www.flickr.com/hhcnyc,2011-08-08,
LMEC,Flickr,http://www.flickr.com/photos/nyclatinmedia/,2011-08-08,
LPC,Flickr,http://www.flickr.com/photos/nyclandmarks,2011-08-08,
Materials for the Arts,Flickr,http://www.flickr.com/photos/materialsforthearts,2011-08-08,
Mayor's Office,Flickr,http://www.flickr.com/photos/nycmayorsoffice/,2011-08-08,
NYC Digital,Flickr,http://www.flickr.com/photos/nycdigital/,2011-08-08,
NYCHA,Flickr,http://www.flickr.com/photos/nychapics,2011-08-08,
PlaNYC,Flickr,http://www.flickr.com/photos/planyc/,2011-08-08,
Prob,Flickr,http://www.flickr.com/photos/nycprobation/,2011-08-08,
SnowUpdate,Flickr,http://www.flickr.com/groups/1604085@N23/,2011-08-08,
HRA,Flickr,http://www.flickr.com/people/nychra/,2011-08-08,
DSNY,Flickr,http://www.flickr.com/photos/86722064@N03/,2011-08-08,
GreeNYC,Foursquare,http://foursquare.com/birdie_nyc,2011-08-08,53
DOH,Foursquare,https://foursquare.com/nychealthy,2011-08-08,
DOT,Foursquare,http://foursquare.com/user/7474166,2011-08-08,
DPR,Foursquare,https://foursquare.com/nycparks,2011-08-08,
OEM,Newsletter,,2011-10-04,
FDNY,Foursquare,https://foursquare.com/fdny,2011-08-08,
Materials for the Arts,Foursquare,https://foursquare.com/mftanyc,2011-08-08,
NYC Gov,Foursquare,http://foursquare.com/nycgov,2011-08-08,
NYC Gov,Foursquare (Badge Unlock),https://foursquare.com/nycgov,2011-08-08,
NYCHA,Foursquare,https://foursquare.com/nycha,2011-08-08,
Mayor's Office,Instagram,http://web.stagram.com/n/nycmayorsoffice,2011-08-08,
DOT,Instagram,http://web.stagram.com/n/nyc_dot,2011-08-08,
DOH,iPhone,http://itunes.apple.com/us/app/abceats/id502867547?mt=8,2011-08-08,
311,iPhone App,http://itunes.apple.com/us/app/nyc-311/id324897619?mt=8,2011-08-08,16879
DOH,iPhone app,http://itunes.apple.com/app/nyc-condom-finder-by-nyc-health/id418902795,2011-08-08,8041
DSNY,iPhone App,http://itunes.apple.com/us/app/nycrecycles/id445457149?ls=1&mt=8,2011-08-08,171
DSNY,iPhone App,http://itunes.apple.com/us/app/stuff-ex/id445438603?ls=1&mt=8,2011-08-08,142
DOT,iPhone app,You The Man,2011-08-08,2635
Mayor's Office,iPhone App,http://itunes.apple.com/us/app/nyc-city-hall/id375398827?mt=8,2011-08-08,3186
MOME,iPhone App,http://itunes.apple.com/us/app/nyc-media-app/id433177943?mt=8,2011-08-08,944
MOME,iPhone App,http://itunes.apple.com/us/app/miny-discount-vendors/id372448233?mt=8,2011-08-08,350
DOE,Linked-In,http://www.linkedin.com/groups?gid=1545057&home=,2011-08-08,92
DOE,Linked-In,http://www.linkedin.com/company/nyc-teaching-fellows,2011-08-08,901
DOE,Linked-In,http://www.linkedin.com/company/nyc-department-of-education,2011-08-08,11705
ACS,Linked-In,http://www.linkedin.com/companies/260392/City+of+New+York%2C+Administration+for+Children%27s+Services?trk=ncsrch_hits&goback=%2Efcs_GLHD_city+of+new+york_false_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2,2011-08-08,
All,Linked-In,http://www.linkedin.com/company/2904?trk=tyah,2011-08-08,
Dept of Consumer Affairs,Linked-In,http://www.linkedin.com/company/831694?trk=tyah,2011-08-08,
DOF,Linked-In,http://www.linkedin.com/company/298308?trk=tyah,2011-08-08,
DOHMH,Linked-In,http://www.linkedin.com/company/245926?trk=tyah,2011-08-08,
SBS,Linked-In,http://www.linkedin.com/company/workforce1,2011-08-08,
SBS,Linked-In,http://www.linkedin.com/company/small-business-services,2011-08-08,
DOE,Newsletter,,2011-08-08,187180
DOT,Newsletter,,2011-08-08,72614
NYC Digital: external newsletter,Newsletter,,2011-08-08,
NYC Gov,Newsletter,0,2011-08-08,543533
NYCHA,Newsletter,,2011-08-08,
OEM,Newsletter,,2011-08-08,
,nyc.gov,2800000,2011-08-08,
nycgov,Pinterest,http://pinterest.com/nycgov,2011-08-08,
DOH,Pinterest,http://pinterest.com/nychealth,2011-08-08,
FDNY,Pinterest,http://pinterest.com/fdnyhome/,2011-08-08,
DRIS,Pinterest,http://pinterest.com/recordsnyc,2011-08-08,
DOE,SMS,877877,2011-08-08,382
NYCHA,SMS,,2011-08-08,
OEM,SMS,,2011-08-08,61652
NYC Digital,Tumblr,http://nycdigital.tumblr.com,2011-08-08,850
Change By Us,Tumblr,http://nycchangebyus.tumblr.com/,2011-08-08,
DOB,Tumblr,http://nycbuildings.tumblr.com,2011-08-08,
DOH,Tumblr,http://nychealth.tumblr.com/,2011-08-08,
DOH,Tumblr,http://mygooddognyc.tumblr.com/,2011-08-08,
